City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Soe,ID,2021-04-16 23:05:54,-9.8607,124.284,67.95,84,30,3.2
199,Seoul,KR,2021-04-16 23:05:30,37.5683,126.9778,42.8,87,40,3.44
200,Athens,GR,2021-04-16 23:03:55,37.9795,23.7162,57.99,62,20,8.05
201,Bathsheba,BB,2021-04-16 23:05:54,13.2167,-59.5167,80.6,65,40,18.41
202,Fethiye,TR,2021-04-16 23:05:55,36.6217,29.1164,55.4,94,75,4.61
203,Padang,ID,2021-04-16 23:05:55,-0.9492,100.3543,73.4,94,75,3.44
204,Husavik,IS,2021-04-16 23:05:56,66.0449,-17.3389,42.8,52,40,13.8
205,Ipameri,BR,2021-04-16 23:05:56,-17.7219,-48.1597,70.36,67,83,2.57
206,Bandipur,NP,2021-04-16 23:05:57,27.9333,84.4167,63.99,26,89,3.02
207,Awbari,LY,2021-04-16 23:05:57,26.5921,12.7805,86.52,10,65,6.15
208,Tual,ID,2021-04-16 23:05:58,-5.6667,132.75,83.28,71,99,14.74
209,Mujiayingzi,CN,2021-04-16 23:02:03,42.1167,118.7833,39.0,25,99,25.99
210,Te Anau,NZ,2021-04-16 23:05:58,-45.4167,167.7167,47.75,69,21,1.81
211,Kalianget,ID,2021-04-16 23:05:59,-7.05,113.9333,79.11,79,49,6.2
212,Saint-Philippe,RE,2021-04-16 23:05:59,-21.3585,55.7679,77.0,78,0,4.61
213,Neiafu,TO,2021-04-16 23:05:59,-18.65,-173.9833,82.4,69,40,4.61
214,Kununurra,AU,2021-04-16 23:06:00,-15.7667,128.7333,82.4,34,81,14.97
215,Wewak,PG,2021-04-16 23:06:00,-3.5534,143.6268,76.53,93,100,3.02
216,Vila Franca Do Campo,PT,2021-04-16 23:06:01,37.7167,-25.4333,62.6,88,40,8.05
217,Atambua,ID,2021-04-16 23:06:01,-9.1061,124.8925,73.38,84,43,3.58
218,Pankrushikha,RU,2021-04-16 23:06:02,53.8319,80.3406,32.29,86,98,12.17
219,Melle,DE,2021-04-16 23:03:18,52.2,8.35,36.0,77,79,4.63
