City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Bathsheba,BB,13.2167,-59.5167,80.6,57,40,17.27,scattered clouds
204,Upington,ZA,-28.4478,21.2561,68.0,32,11,5.75,few clouds
205,Sorland,NO,67.667,12.6934,40.8,84,100,22.88,overcast clouds
206,Matara,LK,5.9485,80.5353,76.6,90,93,5.95,heavy intensity rain
207,Balikpapan,ID,-1.2675,116.8289,76.01,88,100,6.13,overcast clouds
208,Port Alfred,ZA,-33.5906,26.891,67.59,81,90,16.04,overcast clouds
209,Ancud,CL,-41.8697,-73.8203,50.0,100,90,3.44,moderate rain
210,Capoterra,IT,39.1763,8.9718,55.0,93,0,3.44,clear sky
211,Kurumkan,RU,54.3,110.3,33.28,77,100,3.53,light snow
212,Soyo,AO,-6.1349,12.3689,78.62,86,100,6.76,light rain
213,Atlantic Beach,US,30.3344,-81.3987,75.2,73,75,9.22,broken clouds
214,Ndele,CF,8.4109,20.6473,77.94,65,100,9.64,overcast clouds
215,Haines Junction,CA,60.7522,-137.5108,50.0,40,55,10.36,broken clouds
216,Mansehra,PK,34.3333,73.2,53.15,85,100,2.82,overcast clouds
217,Carballo,ES,43.213,-8.691,48.99,93,55,1.99,broken clouds
218,Lebu,CL,-37.6167,-73.65,55.42,95,100,7.31,overcast clouds
219,Laguna,US,38.421,-121.4238,75.99,35,1,13.8,clear sky
220,Nikolskoye,RU,59.7035,30.7861,42.01,52,0,8.95,clear sky
221,Kushima,JP,31.4583,131.2333,55.4,71,20,9.22,few clouds
222,Provideniya,RU,64.3833,-173.3,28.4,59,0,3.04,clear sky
223,Honningsvag,NO,70.9821,25.9704,41.16,81,7,20.6,clear sky
224,Yeppoon,AU,-23.1333,150.7333,73.4,68,90,3.02,overcast clouds
225,Quelimane,MZ,-17.8786,36.8883,73.4,88,40,4.61,scattered clouds
226,Waipawa,NZ,-41.4122,175.5153,64.99,88,20,10.36,few clouds
227,San Patricio,US,28.017,-97.5169,80.6,50,1,18.41,clear sky
228,Henties Bay,NA,-22.116,14.2845,79.0,43,79,1.01,broken clouds
229,Dharmanagar,IN,24.3667,92.1667,70.68,78,4,2.37,clear sky
230,Emerald,AU,-23.5333,148.1667,75.99,68,77,8.05,broken clouds
231,Verkhnyaya Inta,RU,65.9811,60.3094,28.6,97,40,10.22,scattered clouds
232,Krasnoselkup,RU,65.7,82.4667,-8.1,97,15,7.9,few clouds
233,Preobrazheniye,RU,42.9019,133.9064,48.2,39,37,6.33,scattered clouds
234,High Level,CA,58.5169,-117.136,57.2,33,1,8.05,clear sky
235,Fortuna,US,40.5982,-124.1573,55.0,93,90,14.97,overcast clouds
236,Kasongo,CD,-4.45,26.6667,68.9,98,100,1.07,light rain
237,Pevek,RU,69.7008,170.3133,29.44,67,20,20.47,few clouds
238,Sambava,MG,-14.2667,50.1667,74.57,93,100,11.97,moderate rain
239,Muzhi,RU,65.3667,64.6667,26.73,89,50,6.64,scattered clouds
240,Tandil,AR,-37.3217,-59.1332,64.99,81,4,1.99,clear sky
241,Coquimbo,CL,-29.9533,-71.3436,62.6,67,40,10.36,scattered clouds
242,Mikkeli,FI,61.6886,27.2723,34.0,80,0,4.68,clear sky
243,Mbarara,UG,-0.608,30.65,59.29,92,100,1.88,overcast clouds
244,Ola,RU,59.5833,151.2833,34.32,83,99,23.42,overcast clouds
245,Srednekolymsk,RU,67.45,153.6833,35.31,96,9,9.51,clear sky
246,Imbituba,BR,-28.24,-48.6703,68.0,88,75,11.5,light rain
247,Tashtyp,RU,52.7939,89.8983,19.94,73,30,1.36,scattered clouds
248,Union,US,40.6334,-74.2663,75.2,23,1,5.75,clear sky
249,Kutum,SD,14.2,24.6667,76.91,9,2,10.94,clear sky
250,Flinders,AU,-34.5833,150.8552,63.0,56,22,4.0,few clouds
251,Lakeland Highlands,US,27.9597,-81.9501,80.01,83,75,6.91,broken clouds
252,Barranca,PE,-10.75,-77.7667,68.31,82,11,9.13,few clouds
253,Carutapera,BR,-1.195,-46.02,75.45,89,99,4.76,moderate rain
254,Carbonia,IT,39.1672,8.5222,54.0,93,0,3.44,clear sky
255,Lorengau,PG,-2.0226,147.2712,83.77,78,100,10.36,overcast clouds
256,Nanortalik,GL,60.1432,-45.2371,35.04,77,100,6.29,overcast clouds
257,Mareeba,AU,-17.0,145.4333,73.99,100,90,3.44,light rain
258,Sisimiut,GL,66.9395,-53.6735,22.15,71,1,4.92,clear sky
259,Souillac,MU,-20.5167,57.5167,78.8,83,75,10.36,broken clouds
260,Port Elizabeth,ZA,-33.918,25.5701,62.6,94,0,10.36,clear sky
261,Nioro,GM,13.35,-15.75,84.2,25,10,11.05,clear sky
262,Bulawayo,ZW,-20.15,28.5833,54.21,65,0,11.92,clear sky
263,Mindelo,CV,16.8901,-24.9804,71.6,60,75,27.63,broken clouds
264,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,86.0,58,40,4.61,scattered clouds
265,Okato,NZ,-39.2,173.8833,64.0,94,59,3.51,broken clouds
266,Brenham,US,30.1669,-96.3977,77.0,47,40,19.57,scattered clouds
267,Itarare,BR,-24.1125,-49.3317,60.66,84,15,9.66,few clouds
268,Manchester,GB,53.4809,-2.2374,50.0,62,99,3.44,overcast clouds
269,Katsuura,JP,35.1333,140.3,66.0,33,20,3.0,few clouds
270,Guider,CM,9.9342,13.9486,90.54,13,79,4.29,broken clouds
271,Nuuk,GL,64.1835,-51.7216,30.2,93,90,10.36,overcast clouds
272,Asau,RO,46.4333,26.4,43.0,60,89,4.43,overcast clouds
273,Magdagachi,RU,53.45,125.8,34.11,46,4,9.98,clear sky
274,Hambantota,LK,6.1241,81.1185,77.79,86,56,8.72,broken clouds
275,Geraldton,AU,-28.7667,114.6,64.4,63,0,16.11,clear sky
276,Klaksvik,FO,62.2266,-6.589,32.0,80,6,6.91,clear sky
277,Iranshahr,IR,27.2025,60.6848,76.86,16,0,1.63,clear sky
278,Jaicos,BR,-7.3592,-41.1378,77.45,68,94,2.1,overcast clouds
279,Lompoc,US,34.6391,-120.4579,55.4,71,50,12.66,scattered clouds
280,Abu Dhabi,AE,24.4667,54.3667,77.0,69,0,8.59,clear sky
281,Shenjiamen,CN,29.9576,122.298,60.55,87,54,13.35,broken clouds
